fundamental_id,company_id,name,cik,ticker,start_date,end_date,months,fiscal_year,fiscal_period,filing_date,cashandequivalents,restrictedcash,shortterminvestments,notereceivable,accountsreceivable,netinventory,prepaidexpenses,currentdeferredtaxassets,othercurrentassets,othercurrentnonoperatingassets,totalcurrentassets,grossppe,accumulateddepreciation,netppe,longterminvestments,noncurrentnotereceivables,goodwill,intangibleassets,noncurrentdeferredtaxassets,employeebenefitassets,othernoncurrentassets,othernoncurrentnonoperatingassets,totalnoncurrentassets,totalassets,shorttermdebt,accountspayable,accruedexpenses,customerdeposits,dividendspayable,currentdeferredrevenue,currentdeferredtaxliabilities,currentemployeebenefitliabilities,othertaxespayable,othercurrentliabilities,othercurrentnonoperatingliabilities,totalcurrentliabilities,longtermdebt,capitalleaseobligations,assetretirementandlitigationobligation,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othernoncurrentliabilities,othernoncurrentnonoperatingliabilities,totalnoncurrentliabilities,totalliabilities,commitmentsandcontingencies,redeemablenoncontrollinginterest,totalpreferredequity,commonequity,retainedearnings,treasurystock,aoci,otherequity,totalcommonequity,totalequity,noncontrollinginterests,totalequityandnoncontrollinginterests,totalliabilitiesandequity
fun_olOrZZ,com_AXGrAg,Honeywell International Inc,773840.0,HON,,2021-12-31,,2021,FY,2022-10-27 13:09:11 +0000,10959000000.0,,564000000.0,,6830000000.0,5138000000.0,,,1881000000.0,,25372000000.0,,,0.0,1222000000.0,322000000.0,17756000000.0,3613000000.0,489000000.0,,15696000000.0,,39098000000.0,64470000000.0,5345000000.0,6484000000.0,7679000000.0,,,,,,,,,19508000000.0,14254000000.0,,,,2364000000.0,208000000.0,8887000000.0,,25713000000.0,45221000000.0,,7000000.0,,9099000000.0,42827000000.0,-30462000000.0,-2895000000.0,,18569000000.0,18569000000.0,673000000.0,19242000000.0,64470000000.0
fun_pR55R9,com_dXOKXo,International Business Machines Corp,51143.0,IBM,,2022-09-30,,2022,Q3,2022-10-25 20:16:44 +0000,7816000000.0,159000000.0,1753000000.0,6280000000.0,6428000000.0,1794000000.0,3452000000.0,,1316000000.0,,28999000000.0,18675000000.0,13525000000.0,5150000000.0,1614000000.0,4781000000.0,54218000000.0,10967000000.0,6868000000.0,9695000000.0,3558000000.0,,91701000000.0,125850000000.0,5937000000.0,3806000000.0,3702000000.0,,,11139000000.0,1667000000.0,3369000000.0,,844000000.0,,30466000000.0,44942000000.0,,,3018000000.0,,11760000000.0,15516000000.0,,75236000000.0,105703000000.0,,,,58117000000.0,148611000000.0,-169514000000.0,-17138000000.0,,20076000000.0,20076000000.0,71000000.0,20147000000.0,125850000000.0
fun_nl3V2R,com_dXOKXo,International Business Machines Corp,51143.0,IBM,,2022-06-30,,2022,Q2,2022-07-25 20:43:18 +0000,7034000000.0,220000000.0,524000000.0,6619000000.0,6776000000.0,1683000000.0,3414000000.0,,1624000000.0,,27896000000.0,19079000000.0,13804000000.0,5275000000.0,1689000000.0,5316000000.0,55039000000.0,11571000000.0,7073000000.0,9930000000.0,3713000000.0,,94331000000.0,127503000000.0,5981000000.0,3707000000.0,3682000000.0,,,12522000000.0,1742000000.0,3327000000.0,,884000000.0,,31844000000.0,44328000000.0,,,3069000000.0,,13118000000.0,15668000000.0,,76183000000.0,108026000000.0,,,,57802000000.0,153298000000.0,-169522000000.0,-22169000000.0,,19409000000.0,19409000000.0,67000000.0,19476000000.0,127503000000.0
fun_59lm5m,com_dXOKXo,International Business Machines Corp,51143.0,IBM,,2022-03-31,,2022,Q1,2022-04-26 20:19:53 +0000,9934000000.0,286000000.0,550000000.0,6759000000.0,6966000000.0,1776000000.0,3548000000.0,,1513000000.0,,31330000000.0,20006000000.0,14448000000.0,5559000000.0,1771000000.0,4610000000.0,56106000000.0,12312000000.0,7567000000.0,9995000000.0,4024000000.0,,96385000000.0,133275000000.0,7690000000.0,3453000000.0,3699000000.0,,,13526000000.0,1798000000.0,2937000000.0,,954000000.0,,34056000000.0,46545000000.0,,,3423000000.0,,13937000000.0,16202000000.0,,80107000000.0,114162000000.0,,,,57603000000.0,153401000000.0,-169422000000.0,-22532000000.0,,19050000000.0,19050000000.0,62000000.0,19112000000.0,133275000000.0
fun_olpY1Z,com_dXOKXo,International Business Machines Corp,51143.0,IBM,,2021-09-30,,2021,Q3,2021-11-05 11:23:16 +0000,7455000000.0,352000000.0,600000000.0,7161000000.0,7508000000.0,1891000000.0,2954000000.0,,2046000000.0,,29967000000.0,32349000000.0,23211000000.0,9138000000.0,1996000000.0,5046000000.0,61378000000.0,13025000000.0,8967000000.0,8197000000.0,6501000000.0,,105110000000.0,144214000000.0,7575000000.0,4248000000.0,4520000000.0,,,12264000000.0,2159000000.0,3780000000.0,,1285000000.0,,35832000000.0,46926000000.0,,,3965000000.0,,16764000000.0,18371000000.0,,86026000000.0,121858000000.0,,,,57189000000.0,161747000000.0,-169406000000.0,-27302000000.0,,22228000000.0,22228000000.0,129000000.0,22357000000.0,144214000000.0
fun_pR03a3,com_dXOKXo,International Business Machines Corp,51143.0,IBM,,2021-06-30,,2021,Q2,2021-07-27 16:41:04 +0000,7350000000.0,215000000.0,600000000.0,8194000000.0,7629000000.0,1807000000.0,2768000000.0,,2211000000.0,,30774000000.0,32575000000.0,23152000000.0,9423000000.0,2010000000.0,5674000000.0,61645000000.0,13539000000.0,8954000000.0,8046000000.0,6749000000.0,,106617000000.0,146814000000.0,6442000000.0,4214000000.0,5249000000.0,,,13272000000.0,2260000000.0,3846000000.0,,1334000000.0,,36616000000.0,48735000000.0,,,4113000000.0,,17265000000.0,18019000000.0,,88132000000.0,124747000000.0,,,,56912000000.0,162086000000.0,-169404000000.0,-27652000000.0,,21942000000.0,21942000000.0,125000000.0,22067000000.0,146814000000.0
fun_Or6Ao2,com_dXOKXo,International Business Machines Corp,51143.0,IBM,,2021-03-31,,2021,Q1,2021-04-27 16:19:53 +0000,10531000000.0,142000000.0,600000000.0,8822000000.0,7245000000.0,1828000000.0,2647000000.0,,2223000000.0,,34038000000.0,32269000000.0,22817000000.0,9452000000.0,2125000000.0,5922000000.0,59984000000.0,13535000000.0,8953000000.0,7800000000.0,6819000000.0,,105138000000.0,148629000000.0,5198000000.0,4140000000.0,5775000000.0,,,14197000000.0,2640000000.0,3256000000.0,,1337000000.0,,36542000000.0,51206000000.0,,,4153000000.0,,17346000000.0,17868000000.0,,90573000000.0,127116000000.0,,,,56788000000.0,162218000000.0,-169360000000.0,-28257000000.0,,21389000000.0,21389000000.0,124000000.0,21513000000.0,148629000000.0
fun_xYllYE,com_dXOKXo,International Business Machines Corp,51143.0,IBM,,2021-12-31,,2021,FY,2022-10-25 20:16:44 +0000,6650000000.0,307000000.0,600000000.0,7221000000.0,7756000000.0,1650000000.0,3466000000.0,,1890000000.0,,29539000000.0,20085000000.0,14390000000.0,5694000000.0,1823000000.0,5425000000.0,55643000000.0,12511000000.0,7370000000.0,9850000000.0,4146000000.0,,96768000000.0,132001000000.0,6787000000.0,3955000000.0,3892000000.0,,,12518000000.0,2289000000.0,3204000000.0,,974000000.0,,33619000000.0,44917000000.0,,,3577000000.0,,14435000000.0,16458000000.0,,79387000000.0,113005000000.0,,,,57319000000.0,154209000000.0,-169392000000.0,-23234000000.0,,18902000000.0,18901000000.0,95000000.0,18996000000.0,132001000000.0
fun_AaV3QP,com_NgYGzd,Intel Corp,50863.0,INTC,,2022-10-01,,2022,Q3,2022-10-27 22:30:22 +0000,4529000000.0,,18030000000.0,,7469000000.0,12831000000.0,,,6348000000.0,,49263000000.0,,,75763000000.0,5822000000.0,,27591000000.0,6268000000.0,,,10134000000.0,,49815000000.0,174841000000.0,2283000000.0,7133000000.0,,,,,,3421000000.0,,14976000000.0,,27813000000.0,37240000000.0,,,3782000000.0,361000000.0,,5760000000.0,,47143000000.0,74956000000.0,0.0,,,30912000000.0,71024000000.0,,-2051000000.0,,99885000000.0,99885000000.0,,99885000000.0,174841000000.0
fun_886jYE,com_NgYGzd,Intel Corp,50863.0,INTC,,2022-07-02,,2022,Q2,2022-07-28 22:52:49 +0000,4390000000.0,,22654000000.0,,6063000000.0,12174000000.0,,,5307000000.0,,50588000000.0,,,0.0,5929000000.0,,27587000000.0,6427000000.0,,,79887000000.0,,119830000000.0,170418000000.0,2882000000.0,7945000000.0,,,,,,2730000000.0,,13661000000.0,,27218000000.0,32548000000.0,,,3684000000.0,572000000.0,,5178000000.0,,41982000000.0,69200000000.0,0.0,,,29858000000.0,72985000000.0,,-1625000000.0,,101218000000.0,101218000000.0,,101218000000.0,170418000000.0
